student_id,branch,track,gender,age,study_hours_week,commute_minutes,sleep_hours,projects_submitted,satisfaction_1to5,has_laptop,transport,pets_at_home,favorite_sport,final_score
ITI-1049,Cairo,Data Science,Female,21,22.8,142.3,7.1,2,4,No,Walk,1,Basketball,85.3
ITI-1089,Alexandria,Web Development,Male,20,20.5,25.9,8.2,5,3,Yes,Bus,0,Swimming,94.1
 ITI-1236 ,Alexandria,Web Development,Female,26,19.1,34.8,7.6,4,3,Yes,Walk,0,Running,83.7
ITI-1022,Alexandria,Web Development,Female,22,19.5,110.8,5.9,8,4,Yes,Bus,2,Basketball,70.7
ITI-1058,Assiut,Embedded Systems,Male,24,15.2,24.0,8.7,2,?,Yes,Bus,4,none,84.9
ITI-1204,Cairo,Cyber Security,Male,21,26.4,50.4,,4,2,Yes,Bus,2,Basketball,100.0
ITI-1161,Cairo,Web Development,Female,24,20.8,33.1,7.0,0,4,Yes,Bus,0,Basketball,83.6
ITI-1181,Assiut,Data Science,Male,22,11.3,11.8,7.1,7,4,Yes,Microbus,1,Football,82.1
ITI-1188,Cairo,web development,Female,27,27.8,38.1,6.5,2,4,Yes,Metro,2,Running,100.0
ITI-1192,Cairo,UI/UX,Female,unknown,21.1,,,4,3,Yes,Bus,1,Basketball,93.3
ITI-1258,Cairo,Web Development,Female,21,20.7,36.3,4.5,4,4,Yes,Car,1,Football,88.8
ITI-1150,Alexandria,UI/UX,Male,26,17.0,19.4,5.6,2,3,No,Bus,0,Football,75.6
ITI-1131,Cairo,Cyber Security,Male,23,23.1,89.2,6.4,3,2,Yes,Bus,1,,100.0
ITI-1152,Alexandria,UI/UX,Female,25,7.5,95.1,9.0,3,4,No,Car,0,No sport,62.5
ITI-1100,Cairo,Embedded Systems,Female,22,15.3,17.8,5.5,2,2,Yes,Walk,0,Volleyball,74.4
ITI-1088,Assiut,Embedded Systems,Female,,22.3,70 min,6.7,2,2,Yes,Metro,0,Swimming,84.4
ITI-1215,Menoufia,Cyber Security,Male,20,7.5,58.0,7.0,4,?,Yes,Bus,1,Volleyball,75.8
ITI-1122,Menoufia,UI/UX,Male,28,16.4,25.5,5.2,1,4,No,Bus,1,No sport,65.6
ITI-1103,Alexandria, Embedded Systems ,Male,21,17.4,64.1,8.5,4,4,Yes,Car,0,Basketball,81.9
ITI-1021,Cairo,web development,Male,23,17.1,46.4,8.9,1,4,No,Bus,3,Football,89.4
ITI-1189,Mansoura,Data Science,Male,26,12.9,,7.0,2,2,NO,Microbus,1,Basketball,76.5
ITI-1072,Mansoura,Embedded Systems,Male,25,24.7,34.1,8.5,4,5,Yes,METRO,3,Running,96.4
ITI-1107,Assiut,Data Science,Female,24,-5,29.8,8.4,2,3,Yes,Bus,0,Football,85.4
ITI-1103,Alexandria, Embedded Systems ,Male,21,17.4,64.1,8.5,3,4,Yes,Car,0,Basketball,81.9
